Gene	Length
DDX11L1	1735
WASH7P	1351
MIR6859-1	68
MIR1302-2HG	1021
MIR1302-2	138
FAM138A	1219
OR4G4P	840
OR4G11P	1414
OR4F5	2618
RP11-34P13.7	3726
RP11-34P13.8	1319
CICP27	3812
RP11-34P13.15	755
RP11-34P13.16	284
RP11-34P13.14	323
RP11-34P13.13	7559
RNU6-1100P	104
RP11-34P13.9	457
DDX11L17	570
WASH9P	1397
MIR6859-2	68
AP006222.1	8224
AP006222.3	736
RPL23AP24	385
RP4-669L17.2	1095
RP4-669L17.4	6204
WBP1LP7	363
OR4F29	939
CICP7	2477
RP4-669L17.8	1239
U6	2952
RP11-206L10.17	5495
RP5-857K21.2	635
MTND1P23	372
MTND2P28	1044
MTCO1P12	1543
ENSG00000278791	89
MTCO2P12	682
MTATP8P1	207
MTATP6P1	681
MTCO3P12	547
WBP1LP6	424
OR4F16	995
CICP3	2455
RP11-206L10.2	6432
RNU6-1199P	104
RP11-206L10.4	456
LINC01409	8413
RP11-206L10.18	114
RP11-206L10.8	872
FAM87B	1947
LINC01128	15682
LINC00115	1317
RP11-206L10.19	3292
FAM41C	1971
TUBB8P11	1058
FAM166AP3	837
RP11-54O7.16	351
RP11-54O7.1	3043
RP11-54O7.2	443
LINC02593	4152
SAMD11	4172
NOC2L	5540
KLHL17	3402
PLEKHN1	3451
PERM1	3424
RP11-54O7.17	2086
HES4	1118
ISG15	867
RP11-54O7.10	154
RP11-54O7.11	471
AGRN	10761
RP11-54O7.14	402
RP11-465B22.3	2203
RP11-54O7.18	829
RNF223	1900
C1orf159	6322
RP11-465B22.9	1095
LINC01342	1620
MIR200B	95
MIR200A	90
MIR429	83
RP11-465B22.8	987
TTLL10-AS1	3532
TTLL10	3998
TNFRSF18	1271
TNFRSF4	1722
SDF4	4744
B3GALT6	2805
C1QTNF12	1794
RP5-902P8.12	1558
UBE2J2	4691
LINC01786	513
SCNN1D	4025
ACAP3	8707
MIR6726	61
PUSL1	2459
INTS11	8216
MIR6727	65
RP5-890O3.9	386
CPTP	2555
TAS1R3	3475
DVL1	3882
MIR6808	59
MXRA8	3622
AURKAIP1	1669
NDUFB4P8	367
CCNL2	6857
MRPL20-AS1	2527
MRPL20	2767
RN7SL657P	293
MRPL20-DT	1523
ANKRD65	2644
RP4-758J18.7	543
TMEM88B	3217
LINC01770	851
VWA1	5065
ATAD3C	3981
ATAD3B	7686
RP5-832C2.8	660
ATAD3A	3344
TMEM240	2009
SSU72	6919
RP5-832C2.5	2349
RP11-345P4.11	400
FNDC10	2124
RP11-345P4.12	1830
RP11-345P4.9	2038
MIB2	8723
MMP23B	2205
CDK11B	3490
RP11-345P4.10	400
